surface_id,path_or_pattern,bucket,target_action,phase,replacement_or_anchor,rationale
W070-023,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,active_evidence,keep_for_now,F,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,Current runtime provider/snapshot model provenance still feeds V2 direction
W070-024,docs/worksets/W050_DEFERRED_CURRENT_VERSION_SURFACE.md,active_canonical,keep,F,docs/worksets/W050_DEFERRED_CURRENT_VERSION_SURFACE.md,Current deferred-surface authority
W070-025,docs/worksets/W051_IN_SCOPE_CURRENT_VERSION_NOT_COMPLETE_SURFACE.md,active_canonical,keep_and_shrink,F,docs/worksets/W051_IN_SCOPE_CURRENT_VERSION_NOT_COMPLETE_SURFACE.md,Current non-deferred backlog authority now empty and should become a narrow parked-state tracker
W070-026,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,active_canonical,keep,F,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,Current parked non-deferred formalization reconciliation authority
W070-027,docs/worksets/W069_SEMANTIC_WITNESS_SNAPSHOT_V2_PLAN.md,active_canonical,keep,G,docs/worksets/W069_SEMANTIC_WITNESS_SNAPSHOT_V2_PLAN.md,Next substantive post-migration execution packet
W070-028,docs/worksets/W000_KICKOFF_PROGRAM_W001_W006.md,historical_provenance,remove_from_active_tree,E,tag:OxFunc_V1,Closed historical kickoff orchestration no longer active planning truth
W070-029,docs/worksets/W001_*.md through docs/worksets/W021_*.md,historical_provenance,remove_from_active_tree_in_wave1,E,tag:OxFunc_V1,Early historical worksets remain named as TUX1000 kickoff/extension packets and are not current planning truth
W070-029A,docs/worksets/W022_*.md through docs/worksets/W040_*.md,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1,These packets are closed historical execution/provenance surfaces and no longer define current planning truth
W070-029AA,docs/worksets/W041_EXTERNAL_DATA_PROVIDER_AND_CUBE_FUNCTIONS.md,active_canonical,keep,F,docs/worksets/W041_EXTERNAL_DATA_PROVIDER_AND_CUBE_FUNCTIONS.md,Deferred-provider family remains live current-version scope authority
W070-029AB,docs/worksets/W042_DEFERRED_CALLABLE_SEAM_FIELD_LOCK_AND_HIGHER_ORDER_EVIDENCE.md,historical_provenance,remove_from_active_tree_in_wave2,E,docs/function-lane/OXFML_OXFUNC_SHARED_INTERFACE_FREEZE_CANDIDATE_V1.md,Callable seam freeze is now parked elsewhere and this packet is provenance
W070-029AC,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,active_canonical,keep,F,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,RTD seam remains live deferred/open authority
W070-029B,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,active_evidence,keep_for_now,F,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,Current V1 export provenance owner until V2 supersedes it
W070-029BA,docs/worksets/W045_NON_AT_OPERATOR_UNIVERSE_CLOSURE_PASS.md through docs/worksets/W048_RETURN_SURFACE_AND_PUBLICATION_HINT_FREEZE.md,historical_provenance,remove_from_active_tree_in_wave3,E,tag:OxFunc_V1 + surviving active anchors,These packets are now closed provenance rather than current active truth
W070-029BB,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,active_evidence,keep_for_now,F,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,Current provider/snapshot model still anchors post-V1 direction
W070-029BC,docs/worksets/W050_DEFERRED_CURRENT_VERSION_SURFACE.md,active_canonical,keep,F,docs/worksets/W050_DEFERRED_CURRENT_VERSION_SURFACE.md,Canonical deferred current-version tracker
W070-029BD,docs/worksets/W051_IN_SCOPE_CURRENT_VERSION_NOT_COMPLETE_SURFACE.md,active_canonical,keep_and_shrink,F,docs/worksets/W051_IN_SCOPE_CURRENT_VERSION_NOT_COMPLETE_SURFACE.md,Current parked non-deferred tracker now empty and should remain only as a narrow parked-state authority
W070-029BE,docs/worksets/W052_SUMIF_CRITERIA_FAMILY_COMPLETION.md through docs/worksets/W053_LOW_ORDER_PUBLICATION_DRIFT_ASINH_PMT.md,historical_provenance,remove_from_active_tree_in_wave3,E,tag:OxFunc_V1,Closed packet-local provenance not needed as active planning truth
W070-029BF,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,active_canonical,keep,F,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,Current parked non-deferred formalization reconciliation authority
W070-029BG,docs/worksets/W055_GROUPED_AGGREGATION_CURRENT_BASELINE_PROMOTION.md through docs/worksets/W068_LOOKUP_AND_LOGICAL_RESIDUALS.md,historical_provenance,remove_from_active_tree_in_wave4,E,tag:OxFunc_V1,Closed late-stage execution packets are provenance not current execution truth
W070-029C,docs/worksets/W069_SEMANTIC_WITNESS_SNAPSHOT_V2_PLAN.md through docs/worksets/W070_OXFUNC_BEADS_MIGRATION_AND_ACTIVE_TREE_REDUCTION.md,active_canonical,keep,G,current active worksets,Current forward plan and migration packet
W070-030,docs/function-lane/W41_EXECUTION_RECORD.md,active_evidence,keep_for_now,F,docs/worksets/W041_EXTERNAL_DATA_PROVIDER_AND_CUBE_FUNCTIONS.md,Active deferred/provider family still uses this execution record as current evidence
W070-030A,docs/function-lane/W43_EXECUTION_RECORD.md,active_evidence,keep_for_now,F,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,Active RTD seam still uses this execution record as current evidence
W070-030B,docs/function-lane/W44_EXECUTION_RECORD.md,active_evidence,keep_for_now,F,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,Current export baseline still uses this execution record as provenance
W070-030C,docs/function-lane/W49_EXECUTION_RECORD.md,active_evidence,keep_for_now,F,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,Current runtime provider/snapshot model still uses this execution record as provenance
W070-030D,docs/function-lane/W54_EXECUTION_RECORD.md,active_evidence,keep_for_now,F,docs/worksets/W054_LEAN_FORMALIZATION_GAP_RECONCILIATION.md,Current parked formalization reconciliation still uses this execution record as provenance
W070-030E,docs/function-lane/*EXECUTION_RECORD.md,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1 + surviving active subset,All other execution records are historical packet provenance rather than live truth surfaces
W070-031,docs/function-lane/W41_WEB_TEXT_XML_SCENARIO_MANIFEST_SEED.csv,active_evidence,keep_for_now,F,docs/worksets/W041_EXTERNAL_DATA_PROVIDER_AND_CUBE_FUNCTIONS.md,Active deferred/provider family still uses this scenario manifest
W070-031A,docs/function-lane/W41_WEB_TEXT_XML_RUNTIME_REQUIREMENTS.md,active_evidence,keep_for_now,F,docs/worksets/W041_EXTERNAL_DATA_PROVIDER_AND_CUBE_FUNCTIONS.md,Active deferred/provider family still uses this runtime requirement note
W070-031B,docs/function-lane/RTD_REFERENCE_CAPTURE_AND_SEAM_NOTES.md,active_evidence,keep_for_now,F,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,RTD seam remains live and this note still anchors the seam evidence story
W070-031C,docs/function-lane/W43_RTD_COM_AND_TOPIC_LIFECYCLE_INVENTORY.csv,active_evidence,keep_for_now,F,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,RTD seam inventory remains active while W043 stays open
W070-031D,docs/function-lane/*SCENARIO_MANIFEST*.csv,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1 + surviving active subset,All other packet-local manifests are historical replay artifacts rather than live truth surfaces
W070-032,docs/function-lane/*RUNTIME_REQUIREMENTS.md,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1 + surviving active subset,All other packet-local runtime requirement notes are execution scaffolding rather than live truth surfaces
W070-033,docs/function-lane/*SCOPE_RECONCILIATION.csv,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1 + surviving active subset,Packet-local reconciliation ledgers are historical unless explicitly re-homed into current parked/deferred trackers
W070-034,docs/handoffs/HANDOFF_REGISTER.csv,active_canonical,keep,F,docs/handoffs/HANDOFF_REGISTER.csv,Current cross-repo handoff authority
W070-034A,docs/handoffs/HANDOFF_SHARED_INTERFACE_FREEZE_PROMOTION_TO_OXFML_V1.md,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1 + docs/upstream/NOTES_FOR_OXFML.md,Acknowledged freeze-promotion packet now serves as provenance rather than live authority
W070-034B,docs/handoffs/HANDOFF_W014_IMPLICIT_INTERSECTION_TO_OXFML.md,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1 + docs/function-lane/IMPLICIT_INTERSECTION_OPERATOR_INVESTIGATION.md,Earlier filed handoff is superseded by later seam freeze and current W14 parked truth
W070-034C,docs/handoffs/HANDOFF_W015_CELL_INFO_HOST_QUERY_TO_OXFML.md,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1 + docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,Acknowledged host-query handoff is provenance rather than current live authority
W070-034D,docs/handoffs/HANDOFF_W052_UNARY_NEGATIVE_AND_BLANK_SINGLE_CELL_TO_OXFML.md,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1 + docs/function-lane/W53_EXECUTION_RECORD.md,Acknowledged seam-correction packet is historical after local rerun and W53 follow-on
W070-035,docs/upstream/NOTES_FOR_OXFML.md,active_evidence,keep,F,docs/upstream/NOTES_FOR_OXFML.md,Current outbound observation ledger
W070-035A,docs/upstream/OXFUNC_OXFML_SEAM_REQUIREMENTS_CONSOLIDATED.md,historical_provenance,remove_from_active_tree_in_wave2,E,docs/function-lane/OXFML_OXFUNC_SHARED_INTERFACE_FREEZE_CANDIDATE_V1.md,Older seam-consolidation narrative is superseded by the current freeze candidate and handoff chain
W070-036,docs/decisions/**,active_evidence,keep_for_now,F,docs/decisions/README.md,Decision records remain live because doctrine and later cleanup rounds may still cite them
W070-037,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_SPEC.md,active_canonical,keep,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_SPEC.md,Current mutable function-definition narrative spec
W070-038,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_CONFORMANCE.csv,active_canonical,keep_and_clean,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_CONFORMANCE.csv,Current machine-readable conformance register though some historical note references need cleanup
W070-039,docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md,active_evidence,keep_for_now,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_DISCUSSION.md,Discussion ledger still supports current function-definition interpretation and is safer to retain through the doctrine migration
W070-040,docs/function-lane/README.md,active_canonical,keep_and_shrink,E,docs/function-lane/README.md,Index should point only to current live surfaces after archive reduction
W070-041,docs/function-lane/FUNCTION_SLICE_*_CONTRACT_PRELIM.md,active_evidence,keep_for_now,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_CONFORMANCE.csv,Function contract artifacts still anchor current supported and deferred claims and should remain active through doctrine migration
W070-041A,docs/function-lane/XLL_ADDIN_BRIDGE_SHIM_CONTRACT_PRELIM.md,historical_provenance,remove_from_active_tree_in_wave3,E,tag:OxFunc_V1,Packet-local shim contract is not a current active truth surface
W070-041B,docs/function-lane/FUNCTION_SLICE_TYPED_CONTEXT_AND_QUERY_BUNDLE_CONTRACT_PRELIM.md,historical_provenance,remove_from_active_tree_in_wave3,E,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,Bundle-freeze provenance now lives in higher-level shared-freeze artifacts
W070-041C,docs/function-lane/FUNCTION_SLICE_RETURN_SURFACE_AND_PUBLICATION_HINT_CONTRACT_PRELIM.md,historical_provenance,remove_from_active_tree_in_wave3,E,docs/worksets/W049_RUNTIME_LIBRARY_CONTEXT_PROVIDER_CONSUMER_MODEL.md,Return-surface freeze provenance now lives in higher-level shared-freeze artifacts
W070-042,docs/function-lane/reference-captures/rtd/**,active_evidence,keep_for_now,F,docs/worksets/W043_RTD_COM_ACTIVATION_AND_TOPIC_LIFECYCLE_SEAM.md,RTD capture artifacts still relate to an intentionally unresolved/deferred seam family
W070-043,docs/function-lane/FLOATING_POINT_BEHAVIOR_RESEARCH_NOTES.md,active_evidence,keep_for_now,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_CONFORMANCE.csv + FLOATING_POINT_EXECUTION_RECORD.md,Still anchors empirical policy interpretation for floating-point behavior
W070-043A,docs/function-lane/STRING_BEHAVIOR_RESEARCH_NOTES.md,active_evidence,keep_for_now,F,docs/function-lane/EXCEL_FUNCTION_DEFINITION_PRELIM_CONFORMANCE.csv + STRING_EXECUTION_RECORD.md,Still anchors empirical policy interpretation for string behavior
W070-044,docs/function-lane/IMPLICIT_INTERSECTION_OPERATOR_INVESTIGATION.md,active_evidence,keep_for_now,F,docs/worksets/W014_IMPLICIT_INTERSECTION_OPERATOR.md,Still useful as seam provenance and explicit future-validation note even though W14 is current-phase complete
W070-045,docs/function-lane/*_BEHAVIOR_* and other packet-local probe outputs under .tmp references,historical_provenance,remove_from_active_tree_in_wave4,E,tag:OxFunc_V1 + surviving anchors,Large tail of packet-local derived evidence should not stay in the active tree by default
W070-046,docs/function-lane/COERCION_AND_CONVERSION_PRELIM_SPEC.md + VALUE_UNIVERSE_PRELIM_SPEC.md + COERCION_DECISION_TABLE.csv + VALUE_UNIVERSE_TAG_TABLE.csv + VALUE_UNIVERSE_RESEARCH_AND_OPEN_QUESTIONS.md + REF_RESOLUTION_SEAM_OPTIONS.md + DATE_SERIAL_SYSTEM_AND_WORKBOOK_MODE_NOTES.md + FUNCTION_ADAPTER_LAYERING_PRELIM_SPEC.md + FUNCTION_SEMANTIC_SUBSTRATE_CLASSIFICATION.md + FORMULA_ADMISSION_BEHAVIOR_NOTES.md,active_evidence,keep_for_now,F,CHARTER.md + OPERATIONS.md + EXCEL_FUNCTION_DEFINITION_PRELIM_SPEC.md,Core semantic and value/coercion support surfaces still underpin current supported claims and should be reviewed conservatively
W070-046A,docs/function-lane/DOCTRINE_DECISION_FULL_EMPIRICAL_FUNCTION_IDENTITY_20260309.md,active_canonical,keep,F,docs/function-lane/DOCTRINE_DECISION_FULL_EMPIRICAL_FUNCTION_IDENTITY_20260309.md,Live doctrine decision still referenced by operations lessons
W070-046B,docs/function-lane/FUNCTION_SLICE_CORRELATION_LEDGER.csv,active_evidence,keep_for_now,F,docs/function-lane/FUNCTION_SLICE_CORRELATION_LEDGER.csv,Correlation artifact remains part of the assurance stack even if later shrunk or regenerated
W070-046C,docs/function-lane/FUNCTION_CATALOG_CURRENT_BASELINE_LOCAL.csv,active_evidence,keep_for_now,F,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,Still feeds or documents the local catalog baseline underlying the export generator
W070-046D,docs/function-lane/XLCALL_CODE_CATALOG.csv,active_evidence,keep_for_now,F,docs/worksets/W044_LIBRARY_CONTEXT_SNAPSHOT_EXPORT_BASELINE.md,XLCALL built-in identity catalog still supports current export/XLL interop truth
W070-046E,docs/function-lane/XLL_VERIFICATION_SEAM_LIMITATIONS.md,active_evidence,keep,F,docs/function-lane/XLL_VERIFICATION_SEAM_LIMITATIONS.md,Current doctrine explicitly relies on this seam-limitation ledger
W070-046F,docs/function-lane/XLL_ADDIN_BRIDGE_REGISTRATION_NOTES.md + XLL_REGISTRATION_FLAG_EVIDENCE_PLAN.md + XLL_IMPLICIT_INTERSECTION_CALL_PATTERN_SCENARIO_SEED.csv + W15_REPLAY_ADAPTER_CONFORMANCE_CHECKLIST_V1.md + W15_REPLAY_BUNDLE_SKELETON_V1.md + W15_REPLAY_DIFF_EXPLAIN_SHAPES_V1.md + W21_W15_FIRST_LIVE_REPLAY_RUN_CONTRACT_V1.md,active_evidence,keep_for_now,F,IP-05 + IP-08 surfaces,XLL/replay-support docs still relate to live seam-hardening and replay-adapter lanes
W070-046G,docs/function-lane/NOTES_FOR_OXFML.md,historical_provenance,remove_from_active_tree_in_wave1,E,docs/upstream/NOTES_FOR_OXFML.md,This is now only a redirect stub because the canonical ledger moved to docs/upstream
W070-046H,docs/function-lane/INTERESTING_FUNCTIONS_INITIAL_CLASSIFICATION.csv + INTERESTING_FUNCTIONS_INITIAL_CLASSIFICATION.md + PHASE_SUMMARY_FUNCTION_CLOSURE_THROUGH_W13.md + FEC_F3E_INTERFACE_REVIEW_PREP.md + LOCALE_AND_FORMAT_INTERFACE_OPTIONS.md + FORMAT_PROFILE_SEED.csv + FORMAT_SHIM_AND_GET_INFO_REFERENCE_NOTES.md + LEAN_FLOAT_MODEL_NOTES.md + LOOKUP_FAMILY_EMPIRICAL_EXPANSION_NOTES.md + TEXT_FUNCTION_EMPIRICAL_EXPANSION_NOTES.md + W10_PROFILE_SYSTEM_SIDE_NOTES.md + W12_PROFILE_SYSTEM_SIDE_NOTES.md,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1,These are historical planning/research/prep notes rather than current active truth surfaces
W070-046I,docs/function-lane/W16_BATCH*.md + W16_NON_INTERESTING_REMAINING_*.csv,historical_provenance,remove_from_active_tree_in_wave2,E,tag:OxFunc_V1,The W16 batch notes and inventories are execution scaffolding for a drained backlog
W070-046J,docs/function-lane/W17_*.csv + W23_*INVENTORY.csv + W24_*CHECKLIST.csv + W25_*INVENTORY.csv + W26_*INVENTORY.csv + W27_*INVENTORY.csv + W28_*DISCOVERY* + W28_*SEED.csv + W28_*RESULTS.csv + W28_*RECONCILIATION.csv + W29_*LEDGER.csv + W29_*SCOPE.csv + W30_*INVENTORY.csv + W31_*INVENTORY.csv + W32_*INVENTORY.csv + W33_*INVENTORY.csv + W33_PREPROBE_RESULTS.csv + W34_*INVENTORY.csv + W35_*INVENTORY.csv + W36_*INVENTORY.csv + W37_*INVENTORY.csv + W38_*INVENTORY.csv + W39_*INVENTORY.csv + W40_*INVENTORY.csv,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1,These packet-local inventories are historical once current parked and deferred trackers are re-homed
W070-046K,docs/function-lane/W41_EXTERNAL_DATA_PROVIDER_AND_CUBE_INVENTORY.csv + W43_RTD_COM_AND_TOPIC_LIFECYCLE_INVENTORY.csv + W44_DOCUMENTED_COMPLETE_SNAPSHOT_STALE_INVENTORY.csv + W49_RUNTIME_LIBRARY_CONTEXT_CSV_TO_RUNTIME_MAPPING.csv + W49_RUNTIME_LIBRARY_CONTEXT_CONSUMER_WALKTHROUGH.md + W49_CONSUMER_MISMATCH_LEDGER.csv + W49_OXFML_CONSUMER_RECONCILIATION.md + W50_DEFERRED_CURRENT_VERSION_INVENTORY.csv + W51_*CURRENT.csv + W51_*INVENTORY.csv + W51_INTERESTING_POST_FREEZE_LOCAL_WORK.csv,active_evidence,keep_for_now,F,live W041/W043/W044/W049/W050/W051 anchors,These inventories and mapping docs still support current deferred/runtime/export truth
W070-046L,docs/function-lane/W45_NON_AT_OPERATOR_INVENTORY.csv + W46_CALL_REGISTER_ID_INVENTORY.csv + W47_* + W48_* + W52_RESIDUAL_SEAM_REVIEW_20260326.md + W53_NUMERIC_FORENSICS_20260326.md + W57_PACKET_REGISTER.csv + W58_*.*,historical_provenance,remove_from_active_tree_in_waves,E,tag:OxFunc_V1 + surviving active anchors,These are closed packet-local provenance/migration aids rather than current active truth surfaces
