"scenario_id","lane","status","scenario_kind","function_or_operator","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","coercion_axis","ref_resolution_axis","expected_status","expected_observable","notes"
"XM6-014","XM6-C","ready","formula_case","XMATCH","A1:=XMATCH(TRUE,{FALSE,TRUE})","","calculate","A1","A1","Logical comparison lane","xmatch_logical_comparison","none","observed","primary_value2_eq:2","Typed logical compare seed."
"XM6-015","XM6-D","ready","mixed_case","XMATCH","B1:=XMATCH(2,A1:A3)","A1:=1|A2:=2|A3:=3","calculate","B1","A1|A2|A3|B1","Lookup-array reference dereference lane","xmatch_ref_lookup_array","eval_time_deref","observed","primary_value2_eq:2","Reference seam consumed pre-adapter in surface path."
"XM6-016","XM6-D","ready","mixed_case","XMATCH","B1:=XMATCH(A1,{1,2,3})","A1:=2","calculate","B1","A1|B1","Lookup-value reference dereference lane","xmatch_ref_lookup_value","eval_time_deref","observed","primary_value2_eq:2","Reference seam consumed pre-adapter in surface path."
"XM6-017","XM6-D","ready","formula_case","XMATCH","A1:=XMATCH(3,{1,2;3,4})","","calculate","A1","A1","Two-dimensional lookup-array shape lane","xmatch_two_dimensional_shape","none","observed","primary_text_eq:#VALUE!","Two-dimensional shape rejection lane."
"XM6-018","XM6-E","ready","mixed_case","XMATCH","A1:=1|A2:=1/0|A3:=2|B1:=XMATCH(2,A1:A3)","","calculate","B1","A1|A2|A3|B1","Lookup-array with embedded error lane","xmatch_error_in_lookup_array","none","observed","primary_value2_eq:3","Exact match found at index 3 before propagating array error."
"XM6-019","XM6-E","ready","formula_case","XMATCH","A1:=XMATCH(2,{1,2,3})","","save_reopen_recalc","A1","A1","Persistence lane for deterministic exact baseline","xmatch_persistence_save_reopen","none","observed","primary_value2_eq:2","Save/reopen/recalc stability lane."
"XM6-020","XM6-D","ready","mixed_case","XMATCH","D1:=SEQUENCE(1,3,1,1)|B1:=XMATCH(2,D1#)","","calculate_formula2","B1","B1|D1|E1|F1","Dynamic-array source reference lane","xmatch_spill_source_reference","eval_time_deref","observed","primary_value2_eq:2","Tests spilled source feeding XMATCH."
"XM6-021","XM6-C","ready","mixed_case","XMATCH","A1:=XMATCH(B1,C1:C2,0)","B1:=empty|C1:=empty|C2:=1","calculate","A1","A1|B1|C1|C2","Blank lookup value matches true blank cells","xmatch_blank_lookup_true_blank","none","observed","primary_value2_eq:1","Empirical distinction: true blank lookup matches true blank cells."
"XM6-022","XM6-C","ready","mixed_case","XMATCH","A1:=XMATCH("""",C1:C2,0)|C1:=""""","C2:=1","calculate","A1","A1|C1|C2","Literal empty string matches formula-empty cells","xmatch_empty_string_formula_empty","none","observed","primary_value2_eq:1","Formula-empty cells are distinct from true blank cells."
"XM6-023","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(""a*"",{""aaa"",""abb"",""bcd""},2,2)","","calculate","A1","A1","Wildcard plus binary search is invalid","xmatch_wildcard_binary_invalid","none","observed","primary_text_eq:#VALUE!","Built-in Excel rejects wildcard binary XMATCH with #VALUE!."
"XM6-024","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2,{3,1,4,2},0,2)","","calculate","A1","A1","Binary exact on unsorted input empirical lane","xmatch_binary_unsorted_exact","none","observed","primary_text_eq:#N/A","Built-in Excel returns #N/A on this unsorted exact-binary case."
"XM6-025","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2.5,{3,1,4,2},1,2)","","calculate","A1","A1","Binary next-larger on unsorted input empirical lane","xmatch_binary_unsorted_next_larger","none","observed","primary_value2_eq:3","Empirical invalid-result lane for unsorted binary next-larger."
"XM6-026","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2.5,{3,1,4,2},-1,2)","","calculate","A1","A1","Binary next-smaller on unsorted input empirical lane","xmatch_binary_unsorted_next_smaller","none","observed","primary_value2_eq:2","Empirical invalid-result lane for unsorted binary next-smaller."
"XM6-027","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2,{1,2,2,2,3},0,2)","","calculate","A1","A1","Binary ascending duplicate selection lane","xmatch_binary_duplicates_ascending","none","observed","primary_value2_eq:2","Built-in XMATCH binary ascending returns the first duplicate."
"XM6-028","XM6-B","ready","formula_case","XMATCH","A1:=XMATCH(2,{3,2,2,2,1},0,-2)","","calculate","A1","A1","Binary descending duplicate selection lane","xmatch_binary_duplicates_descending","none","observed","primary_value2_eq:4","Built-in XMATCH binary descending returns the last duplicate."
