function_id,status,severity,as_of,excel_builds_judged,rows_judged,rows_agree,worst_ulp,exact_domain_note,kernel_story_ref,blocked_by,evidence_refs
FUNC.ARABIC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.AREAS,unverified,,,,,,,July structural_bug_open via BUG-FUNC-003; streams now handed_off (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-003
FUNC.ARRAYTOTEXT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.ASC,unverified,,,,,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; Cat-1 locale seam; July runs returned #VALUE! at the seam (TEXT 0/78); judge under a pinned locale (W111-11)",,harness:locale,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ASIN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.ASINH,divergent,gross,2026-09-24,20430,1517,1176,16777215,"W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 1176/1517, misses {'gross': 2, 'last_bit': 339}; was unverified; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says unverified; stock take wins; July map bit_exact_observed, no dedicated lane (W111-5)",,,docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.ATAN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.ATAN2,divergent,unmeasured,2026-06-04,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-027; stream status open,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027
FUNC.ATANH,consistent,,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),20780,20780,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; closed_signed_off; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.AVEDEV,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.AVERAGE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.AVERAGEA,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.AVERAGEIF,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.AVERAGEIFS,unverified,,,,,,,July structural_bug_open via BUG-FUNC-004; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-004
FUNC.BAHTTEXT,consistent,,2026-09-25,20430,2040,2040,0,"W111 G8-07 fix, two fresh corpora + 22-row edge probe + 800-row held-out batch: 2040/2040 on build 20430, all rows agree; was divergent/structural; earlier: W111-5 fresh corpus 2026-09-24 on build 20430 (smart-fuzzer/tools/w111/gen_w111_5_batches.py seed 20260924): 306/609, misses {'structural': 303}; was unverified; earlier: July excluded: locale-specific Thai baht text; deterministic but excluded per scope decision; excluded in July by scope decision; in scope now (W111-5)",,harness:locale,docs/function-lane/evidence/w111-g8-bahttext-20260925/misses.json;docs/function-lane/evidence/w111-5-20260924/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BASE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BESSELI,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),18,18,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BESSELJ,divergent,gross,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),,,100000000,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; composition exact at order 0; order>=1 x>=8 1e8-1e11 ULP (BUG-FUNC-024)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BESSELK,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),794,794,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); x>=8 composition",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BESSELY,divergent,gross,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),,,100000000,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); order>=1 x>=8 1e8-1e11 ULP; 93/93 was fitted",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BETA.DIST,divergent,unmeasured,2026-07-20,pre-20430 (20026..20326; per-row build in evidence),671,293,,"July numeric_drift_open via BUG-FUNC-021; stream status open; 293/671 held-out; spec identity 20,008/20,008",,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.BETA.INV,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),30,12,,July numeric_drift_open via BUG-FUNC-021; stream status open; closed forms refuted,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.BETADIST,divergent,unmeasured,2026-07-20,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; as BETA.DIST,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.BETAINV,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.BIN2DEC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BIN2HEX,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BIN2OCT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.BINOM.DIST,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; k=n and k=0 slices landed; general-k 37.9%, overall 49.59%",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BINOM.DIST.RANGE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BINOM.INV,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BINOMDIST,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-018; streams now validated_local (fix not re-judged live): re-judge in W111-6; as BINOM.DIST,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-018;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.BITAND,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BITLSHIFT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BITOR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BITRSHIFT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BITXOR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.BYCOL,unverified,,,,,,,July excluded: callable (lambda) argument,,harness:lambda,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.BYROW,unverified,,,,,,,July excluded: callable (lambda) argument,,harness:lambda,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.CALL,unverified,,,,,,,July excluded: host: external DLL call,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.CEILING,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CEILING.MATH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CEILING.PRECISE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CELL,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,harness:workbook,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CHAR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CHIDIST,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHIINV,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHISQ.DIST,divergent,numeric,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),4100,1615,8,"July numeric_drift_open via BUG-FUNC-021; stream status open; b26 1,615/4,100; PDF 4-8 ULP",,wall:bgrat;wall:private-pmf,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHISQ.DIST.RT,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; CDF tail family,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHISQ.INV,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),65,54,,July numeric_drift_open via BUG-FUNC-021; stream status open; df=2 dense 54/65,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHISQ.INV.RT,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHISQ.TEST,divergent,numeric,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,8,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-05: statistic identified; df=1 via ERFC 154/154; rest inherits GRATIO + ERFC",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-05;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHITEST,divergent,numeric,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,8,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-05: statistic identified; df=1 via ERFC 154/154; rest inherits GRATIO + ERFC",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-05;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CHOOSE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CHOOSECOLS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CHOOSEROWS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CLEAN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.CODE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COLUMN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COLUMNS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.COMBIN,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),22242,22242,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COMBINA,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),40330,40330,0,"July numeric_drift_open via BUG-FUNC-027; stream status open; conflict: July map said divergent, stock take says consistent; stock take wins; +64,767 replay; characterized-candidate",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.COMPLEX,unverified,,,,,,,July structural_bug_open via BUG-FUNC-018; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-018
FUNC.CONCAT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CONCATENATE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.CONFIDENCE,divergent,unmeasured,2026-05-04,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CONFIDENCE.NORM,divergent,unmeasured,2026-05-04,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.CONFIDENCE.T,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
