function_id,contract_row_id,lean_module,lean_theorem_ids,rust_module,rust_test_ids,evidence_ids,excel_version_scope,compatibility_version_scope,status,notes
FUNC.INDIRECT,FN-INDIRECT-001,OxFunc.Functions.Indirect,evalIndirectAdapter_a1_ok;evalIndirectAdapter_missing_a1_style_behaves_false;evalIndirectAdapter_relative_r1c1_uses_caller_context;evalIndirectAdapter_whole_column_a1;evalIndirectAdapter_whole_row_a1;evalIndirectAdapter_relative_r1c1_requires_context;indirectMeta_profiles,oxfunc_core::functions::indirect,eval_indirect_a1_text_returns_reference_like;eval_indirect_absolute_r1c1_is_supported;eval_indirect_relative_r1c1_uses_caller_context;eval_indirect_r1c1_requires_context_for_relative_refs;eval_indirect_rejects_non_text_reference_expression;eval_indirect_missing_a1_flag_behaves_like_false;eval_indirect_whole_column_a1_text_returns_area_reference;eval_indirect_whole_row_a1_text_returns_area_reference,W10-TENMIX-SEED-20260308;W10-CLOSEOUT-20260311,unbounded_provisional,unbounded_provisional,provisional,W10 INDIRECT is function-phase-complete for the current reference baseline. Runtime and Lean now cover omitted-versus-explicitly-blank a1_style behavior, A1 cell/area/whole-axis references, and absolute/relative R1C1 caller-context semantics.
FUNC.SEQUENCE,FN-SEQUENCE-001,OxFunc.Functions.Sequence,evalSequenceAdapter_rows_only_defaults_cols_to_one;evalSequenceAdapter_missing_rows_default_to_one;evalSequenceAdapter_missing_cols_default_to_one;evalSequenceAdapter_missing_start_default_to_one;evalSequenceAdapter_missing_step_default_to_one;evalSequenceAdapter_negative_step_payload;evalSequenceAdapter_zero_dimension_rejected;sequenceMeta_profiles,oxfunc_core::functions::sequence,eval_sequence_rows_only_defaults_cols_to_one;eval_sequence_parses_full_arity;eval_sequence_numeric_text_dimension_is_allowed;eval_sequence_rejects_zero_dimension;map_sequence_zero_dimension_to_calc;eval_sequence_missing_rows_defaults_to_one;eval_sequence_missing_middle_args_follow_excel_defaults,W10-TENMIX-SEED-20260308;W10-CLOSEOUT-20260311,unbounded_provisional,unbounded_provisional,provisional,W10 SEQUENCE is function-phase-complete for the current reference baseline. Runtime and Lean now model materialized row-major payloads together with explicit blank/missing defaults for rows, columns, start, and step.
FUNC.OP_ADD,FN-OPADD-001,OxFunc.Functions.OpAdd,opAddKernel_deterministic;evalOpAddAdapter_two_numbers;opAddMeta_profiles,oxfunc_core::functions::op_add,eval_op_add_two_numbers;eval_op_add_numeric_text_and_logical;eval_op_add_non_numeric_text_fails,W10-TENMIX-SEED-20260308,unbounded_provisional,unbounded_provisional,provisional,W10 seed operator-as-function lane with Q-binary export path.
FUNC.AVERAGE,FN-AVERAGE-001,OxFunc.Functions.Average,evalAverageAdapter_numbers;averageMeta_profiles,oxfunc_core::functions::average,eval_average_on_numbers;eval_average_counts_direct_numeric_text_and_logical;eval_average_ignores_reference_derived_text_and_logical;eval_average_returns_div0_when_no_numeric_values_survive,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 runtime covers provenance-aware direct versus reference-derived aggregate behavior for AVERAGE.
FUNC.COUNT,FN-COUNT-001,OxFunc.Functions.Count,evalCountAdapter_numbers_and_text;countMeta_profiles,oxfunc_core::functions::count,eval_count_counts_direct_numeric_text_and_logical;eval_count_ignores_reference_text_and_logical;eval_count_propagates_worksheet_errors,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 runtime covers provenance-aware direct versus reference-derived COUNT behavior.
FUNC.COUNTA,FN-COUNTA-001,OxFunc.Functions.CountA,evalCountAAdapter_nonblank;countAMeta_profiles,oxfunc_core::functions::counta,eval_counta_counts_non_empty_values;eval_counta_counts_reference_derived_error_and_empty_string_but_not_empty_cells,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 runtime covers flattened COUNTA behavior over direct and reference-derived values.
FUNC.IFERROR,FN-IFERROR-001,OxFunc.Functions.IfError,evalIfErrorAdapter_primary_ok;evalIfErrorAdapter_error_fallback;ifErrorMeta_profiles,oxfunc_core::functions::iferror,eval_iferror_returns_primary_when_not_error;eval_iferror_returns_fallback_for_error_primary,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed lazy fallback closure under refs-visible adapter policy.
FUNC.ROUND,FN-ROUND-001,OxFunc.Functions.Round,evalRoundAdapter_seed_zero_digits;roundMeta_profiles,oxfunc_core::functions::round_fn,round_kernel_rounds_half_away_from_zero;eval_round_supports_negative_digits,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed two-argument ROUND closure with half-away-from-zero kernel and Q-binary export admission.
FUNC.TEXTJOIN,FN-TEXTJOIN-001,OxFunc.Functions.TextJoin,textJoinMeta_profiles;textJoinCore_basic_join;textJoinCore_row_major_flatten_seed;textJoinCore_numeric_and_logical_delimiter_seed,oxfunc_core::functions::textjoin,eval_textjoin_joins_text_and_numbers;eval_textjoin_flattens_arrays_row_major;eval_textjoin_skips_empty_values_when_requested;eval_textjoin_numeric_and_logical_delimiters_are_textified;eval_textjoin_enforces_excel_text_length_limit,W12-MODERATE-BL-20260309;W9-XLL-BL-20260308,unbounded_provisional,unbounded_provisional,provisional,TEXTJOIN is function-phase-complete for the current reference baseline. Runtime and Lean now cover row-major flattening, ignore-empty semantics, and numeric/logical delimiter textification, while the Rust/tests and empirical W12 replay pin the observed overflow lane (`32768` UTF-16 code units -> `#CALC!`). XLL bridge parity is now demonstrated for admitted non-error flattening lanes.
FUNC.TODAY,FN-TODAY-001,OxFunc.Functions.Today,evalTodayAdapter_returns_integral_serial;todayMeta_profiles,oxfunc_core::functions::today_fn,eval_today_floors_provider_serial;eval_today_rejects_args,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed adds an explicit date-provider seam and volatile follow-back candidate for W11.
FUNC.RAND,FN-RAND-001,OxFunc.Functions.Rand,evalRandAdapter_in_range;randMeta_profiles,oxfunc_core::functions::rand_fn,eval_rand_uses_provider_value;eval_rand_rejects_out_of_range_provider_value,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed adds an explicit random-provider seam and volatile follow-back candidate for W11.
FUNC.OFFSET,FN-OFFSET-001,OxFunc.Functions.Offset,evalOffsetSeed_reference_shift;offsetMeta_profiles,oxfunc_core::functions::offset,eval_offset_shifts_single_cell_reference;eval_offset_resizes_reference_area,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed bounded A1 reference-return OFFSET closure with caller-context classification retained.
FUNC.CELL,FN-CELL-001,OxFunc.Functions.Cell,evalCellSeedAddress_b3;cellMeta_profiles,oxfunc_core::functions::cell,eval_cell_address_returns_absolute_a1;eval_cell_contents_uses_resolver;eval_cell_type_returns_text_marker,W12-CELL-PRE-20260309;W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 bounded CELL closure after green dual-run preprobe selecting address row col contents and type only.
FUNC.AND,FN-AND-001,OxFunc.Functions.AndFn,evalAndAdapter_false_branch;andMeta_profiles,oxfunc_core::functions::and_fn,eval_and_returns_false_when_any_arg_is_zero;eval_and_ignores_reference_text_and_empty_cells;eval_and_direct_text_is_value_error;eval_and_returns_value_when_all_inputs_are_ignored,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 runtime logical fold closure distinguishes direct-text error, ignored reference text/blank cells, and all-ignored `#VALUE!` behavior.
FUNC.CLEAN,FN-CLEAN-001,OxFunc.Functions.Clean,cleanSeed_removes_seed_tab;cleanMeta_profiles,oxfunc_core::functions::clean_fn,clean_kernel_removes_low_ascii_control_chars;eval_clean_coerces_logical_to_text,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed ASCII control-strip closure with shared prepared-text coercion.
FUNC.DATE,FN-DATE-001,OxFunc.Functions.Date,evalDateSeed_1900_baseline;dateMeta_profiles,oxfunc_core::functions::date_fn,eval_date_handles_1900_serial_baselines;eval_date_preserves_excel_1900_leap_bug_seed;eval_date_normalizes_month_overflow,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed DATE closure pins 1900 serial behavior and bounded month normalization.
FUNC.EXACT,FN-EXACT-001,OxFunc.Functions.Exact,evalExactSeed_case_sensitive;exactMeta_profiles,oxfunc_core::functions::exact_fn,eval_exact_is_case_sensitive;eval_exact_coerces_numbers_to_text,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed EXACT closure with case-sensitive compare and bounded scalar-to-text coercion.
FUNC.HSTACK,FN-HSTACK-001,OxFunc.Functions.Hstack,hstackShapeSeed_scalar_plus_array;hstackMeta_profiles,oxfunc_core::functions::hstack,eval_hstack_combines_scalar_and_array_shapes,W12-MODERATE-BL-20260309,unbounded_provisional,unbounded_provisional,provisional,W12 seed shape-only HSTACK closure with payload fill bounds explicit.

