row_id,candidate_hash,candidate_description,killing_witness,date,evidence_ref
"G6-08-nper","w109-round1","strict (single-rounded) body arithmetic; platform ln(1+r) denominator","live rows disc-rand-0299 / disc-grid-0129","2026-07-11","W109_NPER_IDENTIFICATION_20260711.md"
"G6-08-nper","w109-round2","strict 1+rate base; strict final divide; epsilon small-rate branch; strict linear zero-rate branch","constructed window probes adv-base-0 / adv-fdiv-0; branch probes; 24 linear-branch window rows","2026-07-11","W109_NPER_IDENTIFICATION_20260711.md"
"G6-09-yieldmat","w109-round1","entire 72-candidate space without term2 reuse: F#-style left-chain term1 (former OxFunc path) and t1one/t1pair variants; price*0.01; (x*rate)/b fractions; mulfirst/divmuldiv finals","150 live distinguishing rows (best candidate 25/150)","2026-07-11","W109_YIELDMAT_IDENTIFICATION_20260711.md"
"G6-09-yieldmat","w109-round2","strict (single-rounded) arithmetic with the docs-form association","window row win-rand-10280 (2 ULP)","2026-07-11","W109_YIELDMAT_IDENTIFICATION_20260711.md"
"G4-03-acoth","w109-sweep","all 13 natural graphs: platform/portable log1p of 2/(x-1); unconditional FYL2XP1; legacy CRT log1p branch (strict/dr/extended t); x87 worksheet ln of (x+1)/(x-1) (strict/spill); fully-extended ratio into FYL2X; internal atanh(1/x) in strict/dr/extended staging; CRT log1p(2r/(1-r))","both recon witnesses (x=5, x=10): every candidate 1-4 ULP off, Excel consistently 1 ULP above the log-identity forms","2026-07-11","smart-fuzzer/work/w109/G4-03-acoth/candidates.json"
"G4-04-combinatorial","w109-permut","PERMUT as factorial ratio n!/(n-k)! (former OxFunc path); strict and extended product loops; descending spill product","catalog witness PERMUT(61,20) 1 ULP; 402-row live corpus leaves only the ascending spill product","2026-07-11","W109_PERMUT_COMBIN_FINDINGS_20260711.md"
"G4-04-combinatorial","w109-combin","COMBIN: all product-loop families (strict/dr/ext, asc/desc, ratio and interleaved), factorial ratios, reciprocal-multiply loops, exp(published-GAMMALN composition)","505-row live corpus; best candidate 82/505; k->min(k,n-k) reduction confirmed as a positive finding","2026-07-11","W109_PERMUT_COMBIN_FINDINGS_20260711.md"
"G4-01-trig-reduction","w109-r1","platform libm trig; raw hardware FSIN/FCOS/FPTAN (66-bit internal reduction); FPREM/FPREM1 against 2*FLDPI (residue extended or stored)","recon witnesses (719/5664 ULP) + 200 live rows per function; residues near +-pi expose the 2pi forms","2026-07-11","W109_TRIG_IDENTIFICATION_20260711.md"
"G4-01-trig-reduction","w109-r2","pi-parity chain for COS/TAN; sin(x+pi/2) COS; quadrant dispatch on signed x (FPREM1 reports magnitude bits); strict reciprocals and cos/sin ratio forms for COT/CSC/SEC","near-pi/2 residue rows, negative-x rows, and constructed reciprocal double-rounding windows","2026-07-11","W109_TRIG_IDENTIFICATION_20260711.md"
"G3-02-gamma-reflection","w109-scope","current Lanczos log-domain kernel (positive side 0/79 exact, max 1370 ULP); GAMMA as x87-EXP of the PUBLISHED GAMMALN (6/79, error grows with |lnGamma| -> internal higher-precision lgamma implicated)","156-row live sweep + 79-point GAMMALN decomposition, build 20131","2026-07-11","smart-fuzzer/work/w109/G3-02-gamma"
"G3-07-gauss-phi","w109-phi","PHI as division by RN(sqrt(2pi)); strict (single-rounded) square or final multiply; platform exp","live rounds: divide staging killed on r1; strict stagings killed on 39 constructed window rows; flush band pinned at bit resolution","2026-07-11","smart-fuzzer/work/w109/G3-07-phi"
"G3-02-gamma-reflection","w109-lgamma","NR gammln (Lanczos g=5, any staging: double/extended/spill, platform or x87 ln) as the GAMMALN kernel","93-row published-GAMMALN corpus: 1/93 exact, up to 45k ULP near x=1","2026-07-11","check_gammaln.rs / smart-fuzzer/work/w109"
"G3-02-gamma-reflection","w109-lgamma","Cephes lgam in PURE double for the small path (2498 ULP at x=1.00012) and in PURE extended for the Stirling path (39/83)","path-split scoreboard: Stirling=plain double (82/83, max 1), small path=extended (max 2)","2026-07-11","check_gammaln_cephes.rs"
"G3-02-gamma-reflection","w109-lgamma-r2","Cephes lgam small path (B/C rational) under ALL store-mask stagings incl. ln input/output stores and per-op splits; the earlier 83/83 x87-staged Stirling fit (over-fit, killed by dense 10-13.5 probes); recurrence-to-Stirling T=4..16 (log-of-product and sum-of-logs, all stagings)","274-probe dense grid answers-r2.json: 52 small rows unexplainable by any small mask; no common Stirling mask over x>=9.75; T=11 recurrence anti-correlates (14/220)","2026-07-11","W109_GAMMALN_IDENTIFICATION_20260711.md"
"G3-02-gamma-reflection","w109-lgamma-r2","Whole-library GAMMALN candidates: fdlibm __ieee754_lgamma_r (203/361; naked-poly bands 9/40), UCRT lgamma (192/361), R/SLATEC Fullerton (177/361), Cody SPECFUN DLGAMA (178/361), DCDFLIB/NSWC gamln (174/361), AS245 (74/361), GSL Lanczos g=7 (63/361), Boost lgamma_small_imp (131/280); each in plain/FMA/spill/ext stagings with platform/fyl2x/fdlibm logs where applicable","361-row corpus incl. dense (0,3) and (9.5,13.5) grids","2026-07-11","W109_GAMMALN_IDENTIFICATION_20260711.md"
"G3-02-gamma-reflection","w109-gamma-r2","Cephes gamma() (P/Q rational + stirf with Excel x87 exp/pow) for worksheet GAMMA (8/79 positive); GAMMALN as log of published GAMMA bits (37/79); UCRT tgamma (13/156)","156-row GAMMA corpus + 79 shared-argument composition rows","2026-07-11","W109_GAMMALN_IDENTIFICATION_20260711.md"
"G4-02-atanh","w109-sweep","UCRT atanh (77/107); fdlibm log1p form (48/67 pos); Cephes atanh P/Q rational (78/107); x87 fyl2xp1 pairs ext/stored (72/68); x87 fFLN ratio forms (22-36); plain half-ln ratio (57)","fresh 107-row live grid: mid-band x in [0.02,0.14] shows +6.3..-3.4 ULP EQUIOSCILLATING error vs true -> custom Microsoft odd rational on |x|<~0.5 (same custom-core class as GAMMALN (0,11)); log-form above, ~CR; tiny x passthrough","2026-07-12","check_atanh.rs / G4-hyp-answers-atanh.json"
"G4-03-acoth","w109-sweep","ucrt-atanh(1/x) (26/57); half-ln ratio ext/stored (42/39); half-log1p(2/(x-1)) ext (42/57)","57-row live grid ruled out these candidates. The original inference that ACOTH inherited an unidentified ATANH band was superseded on 2026-08-09: ATANH's exact graph does not use that helper, so ACOTH remains an independent lane rather than blocked on G4-02","2026-07-12","check_atanh.rs / G4-hyp-answers-acoth.json; a03a75f supersession"
"G4-02-atanh","w109-wf","custom odd rational / Cephes P/Q on |x|<0.5 (premise OVERTURNED); odd minimax x*P(x^2) deg 3..19 (0/52); x*P/Q any moderate degree; global oddness assumption (Excel ATANH(-0.2) is 1 ULP off -ATANH(0.2))","two-approach workflow + Rust x87 racer: equioscillation is the ratio conditioning floor, not approximation error; single log-ratio 0.5*ln((1+x)/(1-x)) in double = 163/163 region C","2026-07-12","W109_ATANH_IDENTIFICATION_20260712.md"
"G5-01-minverse","w109-wf","bottom-row reciprocal-multiply back-sub (51/51 on the 51-row set) — OVERFIT: held-out 147/159 < plain all-division 150/159 on 108 fresh 3x3 matrices; Crout, inner-update FMA, reciprocal-multiplier","held-out enrichment corpus of 108 fresh 3x3 element rows disconfirmed the workflow's single-corpus fit; Doolittle-PP-division generalizes best (150/159)","2026-07-12","W109 sweep / G5-01-answers-minverse-r1.json"
"G6-11-npv-kernel","w109-wf","forward per-term running-product (95); per-term binexp POWER (96); transcendental pow=exp(i*ln(1+r)) x87 (101); reverse-Horner acc=(acc+cf)/w structure IDENTIFIED but micro-staging not pinned (best 119/142, 12-13 rows +-1 ULP from every model)","workflow NPV lane: reverse-Horner in v=1/(1+rate) is the correct reduction (single-flow 47/47, two-flow 16/16) but interior spill/reciprocal staging under-determined","2026-07-12","W109 workflow journal / G6-solvers"
"G6-01-pmt","w109-wf","every plain-double PMT composition (best 21/48); PMT does share FV/PV plain path — it is x87. PV-dual discount + x87 fyl2xp1/f2xm1 log1p/expm1 IDENTIFIED (small-rate 1.5e-6 SOLVED, bit-exact) but 12 rows +-1..2 ULP open (exact transcendental provider unpinned); champion cherry-picked from a noisy 31/34/36 cluster","workflow PMT lane 36/48, verifier holds_up=false; growth (P-1) form collapses at rate=-0.155,n=360 (P underflows) so discount form required","2026-07-12","W109 workflow journal / G6-solvers"
"G6-01-pmt","w109-heldout","WHOLE PMT x87 model family: 6 pow-providers (binexp/loop/excel_pow/fyl2x/FYL2XP1/branched, expm1 P-1 via F2XM1) x 10 final-association comps x 512 store-masks = 30720 candidates","875 fresh held-out rows (disjoint from the 48-row r0; rate ladder across the 0.29289 FYL2XP1 boundary, n 1..300, ty 0/1): GLOBAL CEILING 495/875 = 56.6% (pform4/5 comp2), which scores only 32/48 on r0 -> the 36/48 train champion was a store-mask OVERFIT. 93% of misses are +-1..2 ULP spread across all regimes; only ~11 >=9-ULP misses, all neg-rate/large-n underflow. The expm1/F2XM1 provider (added to fit_pmt_stores.rs) DID eliminate the small-rate catastrophe (rate=1.5e-6 -16285 ULP -> exact). PMT exact op-graph is OUTSIDE this family; broad +-1-ULP residual not closable by provider x association x mask. Same hard-residual class as GAMMALN.","2026-07-13","fit_pmt_stores.rs held-out mode / work/w109/G6-solvers/NOTES-PMT.md + answers-pmt-heldout.json"
"G4-02-atanh","band-uni-x87","ATANH switch-band (|x|~1e-4) via unified 0.5*ln1p(2x/(1-x)) x87 fyl2xp1, binary64 ratio","band 2/6; also breaks region B (139/175) — the extended pair is required below the switch","2026-07-12","W109_ATANH_IDENTIFICATION_20260712.md / check_atanh_unified.rs"
"G4-02-atanh","band-uni-ext","ATANH switch-band via unified 0.5*ln1p(2x/(1-x)) with the 2x/(1-x) argument formed in x87 extended","band 0/6 (all +1 ULP); region B 175/175 but the 6 band rows stay +1","2026-07-12","W109_ATANH_IDENTIFICATION_20260712.md / check_atanh_unified.rs"
"G4-02-atanh","band-fdlibm-arg","ATANH switch-band via fdlibm argument 0.5*ln1p(2x+2x^2/(1-x)) x87 fyl2xp1, binary64","band 4/6 (2 rows +1 ULP); but region B drops to 141/175 — cannot satisfy both regimes with one staging","2026-07-12","W109_ATANH_IDENTIFICATION_20260712.md / check_atanh_unified.rs"
"G4-02-atanh","band-sse-log1p-pair","ATANH switch-band via SSE2 double-double log1p pair 0.5*(log1p(x)-log1p(-x))","band 4/6; but region B only 133/175 — the x87 fyl2xp1 pair (175/175) is the region-B provider, not SSE2","2026-07-12","W109_ATANH_IDENTIFICATION_20260712.md / check_atanh_unified.rs"
"G4-03-acoth","standalone-log1p-2overx","ACOTH large-|x| via standalone 0.5*ln1p(2/(|x|-1)) (x87 fyl2xp1 or SSE2), copysign","0/6 at |x| in [10,1e3); Excel forms 1/x explicitly and does the ln1p PAIR difference, not the algebraic 2/(x-1)","2026-07-12","W109 ACOTH racer / check_acoth_unified.rs"
"G4-03-acoth","signed-ratio-nonodd","ACOTH as the signed ratio 0.5*ln((x+1)/(x-1)) directly (not odd)","3 negative-side rows (-2.27,-2.44,-2.86) off by 1 ULP; ACOTH is exactly odd (compute on |x|, copysign) — positive counterparts match","2026-07-12","W109 ACOTH racer / check_acoth_unified.rs"
"G6-06-irr","npv-reciprocal-multiply","Worksheet NPV via (a+c)*(1/w) reciprocal-multiply (1/(1+rate) precomputed)","strictly worse than reverse-Horner division (max|Δ|=3 vs 2); Excel divides, does not precompute the reciprocal","2026-07-12","W109 NPV staging race / check_npv_staging.rs"
"G6-06-irr","npv-extended-precision","Worksheet NPV via extended-precision / correctly-rounded accumulation (double-double sum)","mpmath correctly-rounded scores 78/142 vs plain-double reverse-Horner 117/142 — NPV is genuinely plain double, not extended","2026-07-12","W109 NPV mpmath control"
"G6-06-irr","npv-x87-spill","Worksheet NPV as an x87 double-rounded spill loop (RN53(RN64) per op)","reverse-Horner in SSE2 == x87-once == x87-per-statement, bit-identical 117/142 — NPV is x87-transparent, not a spill body","2026-07-12","W109 NPV staging race / check_npv_staging.rs"
"G5-01-minverse","adjugate-cofactor","MINVERSE via adjugate/cofactor adj(A)/det (exact integer cofactors, single division)","51/155 on 3x3, 85/448 on 4x4 — far worse than Doolittle LU; Excel is not cofactor-based even for small matrices","2026-07-12","W109 4x4 harvest / MINVERSE python racer"
"G5-01-minverse","gauss-jordan","MINVERSE via Gauss-Jordan full elimination [A|I]->[I|inv] (partial and scaled pivot)","80/159 (partial) / 82/159 (scaled) on 3x3, ~100/448 on 4x4 — Doolittle LU + per-column back-solve (150/159, 448/448) is decisively the method","2026-07-12","W109 4x4 harvest / MINVERSE python racer"
"G3-02-gammaln","1-2-smooth-form-fit","GAMMALN (1,2) as (x-1)(x-2)*R with R polynomial or rational, any center/degree/subband, fitted coefficients","plateaus ~40% bit-exact (best 601/1468); exact-real ceiling of any smooth form 478/1468 < sloppy-double 571 — the bits encode a finite-precision op-fingerprint, not the function","2026-07-12","W109 gammaln-core-recovery workflow (6 families)"
"G3-02-gammaln","1-2-extended-precision","GAMMALN (1,2) via extended-precision (double-double / x87-ext-throughout) accumulation then single round","precision monotonically HURTS: plain double 571 > dd 460 > x87-ext 462 — Excel uses plain-double sloppy per-op rounding, not extended accumulation","2026-07-12","W109 gammaln-core-recovery workflow (compensated-eval)"
"G3-02-gammaln","1-2-published-impls","GAMMALN (1,2) = fdlibm/Boost/Cephes with their exact published coefficients + exact staging","fdlibm 384/1468, Boost 374, Cephes 106 — all below the 571 plateau; fdlibm/Boost are the right FAMILY (within 5-6 ULP everywhere) but Excel's op-graph differs; refitting Excel coeffs into fdlibm's tree still leaves a stubborn 4-ULP residual","2026-07-12","W109 gammaln-core-recovery workflow (published-impls)"
"G3-02-gammaln","1-2-stable-jac-cvp","GAMMALN [1,1.5] Cody-rational tree under the NEW stable analytic-Jacobian LM (staging-independent, immune to round-to-double quantization — SOLVES the prior deferred x87-GN blocker) + CVP-viability ranking over mixed x87/double stagings, poly/inner FMA, reciprocal-multiply, and every inner temp-spill placement","718-pt grid: every staging plateaus ~40% exact (best sum-spill 298/718, FMA 285); NO staging collapses misses to <1 ULP pre-round (best CVP-viability 39%, INVERSE-correlated with exact count) -> Excel op-graph is outside the mul/FMA/spill family. Free arbitrary-degree Chebyshev fit floors at 1.21 ULP / 248 exact (mean->0 past deg 14) => >=2 internal roundings, smooth-form recovery impossible. Reconciles the w109-lgamma-r2 plain-double ~40% plateau (my earlier x87 lead was a noise-floor-RMS metric artifact; by exact count plain/mixed tie at ~40%)","2026-07-12","W109_GAMMALN_RESUME.md + work/w109/G3-02-gamma/{stable_gn,freefit,mixed_scan,fma_scan,miss_diagnostic}.py"
"G5-01-minverse","solve-ordering-sweep","MINVERSE 9-cell 3x3 residual via any per-column solve accumulation ordering: fwd/back-sub {streaming s-=a*x | sum-then-subtract} x {ascending | descending} x back-div {true-div | reciprocal-multiply}","all 32 orderings score <=150/159 (plain streaming-asc div = the shipped best); the 9 +1-ULP near-cancellation cells are NOT a solve-stage accumulation-order flip","2026-07-13","W109 MINVERSE landing / scratchpad mi_ordering.py"
"G5-01-minverse","x87-extended-body","MINVERSE LU+solve run in x87 80-bit extended registers with double stores (legacy-body hypothesis; mpmath prec-64 emulation, store_elim/store_factor/acc_reg/div variants)","best 110/159, strictly worse than plain-double 150 across all 16 store/acc variants -> MINVERSE is plain SSE2 double, not an x87 legacy body; residual direction also flips sign (Excel further from exact on tridiag/integer, closer on near-identity), inconsistent with any single extra/fewer rounding","2026-07-13","W109 MINVERSE landing / scratchpad x87 emulation"
"G6-03-yield","forward-kernel-bitexact-assumed","YIELD as pure schedule inversion over the shipping pcomp price kernel (dive-plan premise: forward kernel already bit-exact)","FALSE: live-Excel PRICE at par = exactly 100 (0x4059000000000000) but pcomp = 100.00000000000003; pcomp only 3/5 on the on-coupon ladder. YIELD drift traces to the forward price kernel, not only the schedule","2026-07-13","W109 YIELD dive / work/w109/G6-solvers/YIELD_PRICE_FORWARD_KERNEL.md"
"G6-03-yield","price-powf-integer-exponent","bond discount factor base^(off+k) via base.powf(exp) for integer exponents (current pcomp)","6/10 held-out; Rust powf uses exp*ln even for integer exponents. Excel uses the C-runtime pow integer special case = binary exponentiation. Also ruled out: x87 exp*ln for integer exponent (6/10), naive left-to-right repeated multiply (5/10; breaks for exponent>=4)","2026-07-13","W109 YIELD 5-bond 25-point PRICE race"
"G6-03-yield","price-getprice-redemption-first","bond price summation in LibreOffice getPrice_ order (redemption term first, then add coupons ascending)","C_n15 2/5: Excel sums COUPONS first then adds redemption (pcomp's existing order). binexp integer powers + coupons-first = 15/15 ident + 10/10 held-out","2026-07-13","W109 YIELD 5-bond 25-point PRICE race"
"G6-03-yield","rn-continuous-root","YIELD = correctly-rounded continuous (real-arithmetic) root of the bond price equation (mpmath high-precision solve, round to double)","3/19 on the live YIELD corpus (only par + D@95); Excel publishes a specific converged iterate over its double-precision price kernel, NOT the rounded analytic root — residuals are tens of ULP with deterministic iterate-publication structure","2026-07-13","W109 YIELD schedule race / work/w109/G6-solvers/yield_corpus_out.json"
"G6-03-yield","naive-iterative-schedules","YIELD via LibreOffice getYield_ false-position, Newton (numeric deriv, seed=rate/0.1), or secant over the corrected binexp price, publish final iterate","all 0/19 bit-exact; Newton(rate) hits par (seed=root) + A@95 +1 ULP but the rest miss by tens of ULP. False-position stalls (linear convergence on the convex price). The exact stopping tol + publication rule are unidentified — needs the solver-VM enumeration","2026-07-13","W109 YIELD schedule race"
"G6-03c-duration","staging-96-variant","DURATION via {binexp/powf discount} x {binexp/powf dirty} x {t=(off+k)/f forms} x {term order t*cash/disc variants} x {w/dirty vs w*recip}","96-variant race over the real kernel maxes 7/10 on 10 live pts; residual is OUTSIDE the discount/t/term/final axes (in dsc/off or cash structure) — op-graph outside the family, not a bounded staging flip","2026-07-14","W109 open-set sweep / duration_staging_probe"
"G3-03-linest","simple-centered-and-raw","LINEST/TREND slope+intercept via raw computational (nSxy-SxSy)/(nSxx-Sx^2) or simple centered kernel","misses Excel LINEST slope by 2-3 ULP across metamorphic set; Excel LINEST uses the least-squares/QR pipeline (publishes different bits than SLOPE/FORECAST's centered kernel). Reverse-rows shifts intercept 128 ULP => order-dependent normal-equations accumulation","2026-07-14","W109 open-set sweep / regression race"
"G3-01-dist","plain-double-cf","CHIDIST/FDIST/TDIST via plain-double NR incomplete-gamma/beta CF (gser/gcf/betacf, EPS=3e-16, ITMAX=200) with any constant tweak","0..6224 ULP vs Excel (worst at 1-P boundary); Excel runs the SAME CF in x87 80-bit extended (mpmath prec64==prec113 => fully converged, residual is finite-precision accumulation not ITMAX/EPS). No double-precision constant closes it; fix = x87-extended CF","2026-07-14","W109 sweep workflow wu09okivf / distributions agent"
"G4-04-combina","product-form","COMBINA(n,k) via any float/integer product grouping or order of C(n+k-1,k)","every product order yields exactly 657800.0 for C(26,7) but Excel returns 657799.9999999999 (1 ULP BELOW the exact integer) - impossible for a product; COMBINA is exp(loggamma) => reduces to the GAMMALN/x87 wall","2026-07-14","W109 sweep workflow / combin agent"
"G3-03-linest-coef","double-x87-extended-qr","LINEST slope via any double/x87/extended/QR/Welford centered least-squares staging","Excel slope sits a deterministic 2 ULP BELOW every double-centered computation (and 3 below truth); extended/x87 move toward +3 (wrong way); 120x120 orderings min=+2. Op-graph outside the family AND Batch-D corpus non-discriminating (Scxx=exact 10). Needs design-for-divergence capture","2026-07-14","W109 sweep workflow / regression agent"
"G4-04-combin","bit-exact-under-2p53","COMBIN as a plain-double or x87-prec64 multiplicative product (any order) bit-exact below 2^53 (cycle-1 workflow claim)","DISPROVEN by cycle-2 design-for-divergence capture: on 16 discriminating (n,k) with representable results Excel matches OxFunc multiply-first only 6/16, ratio-first 2/16, neither 8/16; Excel sits 1-3 ULP BELOW the multiply-first product on larger n,k. All product orderings (double + x87-prec64) score 6/16 => op-graph residual in the PERMUT x87-spill-product family, NOT closed. Original 7-pt corpus was non-discriminating (<2^40)","2026-07-14","W109 sweep cycle-2 / c2_combin_out.json"
"G6-12-effect","w109-effect-plain-power","EFFECT integer power through the ordinary-f64 LSB-first/worksheet-POWER publication path","Ordinary-f64 LSB-first scored 305/315 banked + 770/870 held-out = 1075/1185, while x87-DR LSB-first scored 1185/1185; nominal=0x3ef4000000000000,n=5 publishes 0x3ef4000a00020000 on the selected graph","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-12-effect","w109-effect-order-and-transcendental","EFFECT via x87-DR MSB-first binary power, x87-DR repeated multiplication, raw LN/EXP power, or native powf","Combined 1185-row scores were 608/1185 MSB-first, 464/1185 repeated multiply, 510/1185 raw LN/EXP, and 530/1185 native powf versus 1185/1185 for x87-DR LSB-first","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-12-effect","w109-effect-base-rewrites","EFFECT base formed as (n+nominal)/n, nominal*(1/n), or with an ordinary binary64 1+periodic add","The algebraic rewrites scored 826/870 and 869/870; four targeted double-rounding-window probes selected the x87-DR add 4/4 over ordinary addition","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-13-rri","w109-rri-power-wrapper","RRI routed through the worksheet POWER wrapper, including POWER's exponent-0.5 sqrt dispatch","The original n>=3 held-out set produced a misleading 4900/4900 tie; the 375-row follow-up scored raw 375 versus POWER 204, and RRI(2,1,2) publishes raw 0x3fda827999fcef30 rather than POWER 0x3fda827999fcef34","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-13-rri","w109-rri-native-and-ln-div","RRI via native powf or EXP_x87(LN_x87(base)/periods)","Native powf scored 4705/4900 held-out and 132/375 follow-up; LN(base)/periods scored 4803/4900 and 339/375; the raw reciprocal-first chain scored 4900/4900 and 375/375","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-13-rri","w109-rri-plain-wrapper-product","RRI with an ordinary binary64 reciprocal/log product or ordinary quotient, reciprocal, and final-subtract wrapper operations","The four-row b27D battery rejected the plain product 4/4 (LN/n also loses row 4); targeted wrapper probes selected x87-DR quotient, reciprocal, and final subtraction 2/2 on each axis","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-14-nominal","w109-nominal-single-route","NOMINAL using one raw LN/EXP, worksheet POWER, register-continuous direct-x87, native powf, or LN/n route for every truncated period count","Across the 600-row follow-up plus 242-row n>=3 corpus the scores were raw 830/842, POWER 784/842, always-direct 778/842, native 667/842, and LN/n 791/842 versus 842/842 for the direct-n<=2/raw-n>=3 hybrid; always-direct's 600/600 follow-up fit was killed by its 178/242 adjacent score","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-14-nominal","w109-nominal-direct-spills","NOMINAL direct x87 power with a spilled power argument/logarithmic intermediate, or with the completed power retained extended through subtraction or the whole tail","The two intermediate-spill variants scored 597/600; retaining the completed power extended through subtraction scored 441/842 and retaining the whole tail extended scored 438/842, proving the one-store boundary after direct power","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-14-nominal","w109-nominal-wrapper-rewrites","NOMINAL using untruncated npery, ordinary 1+effect, an unspilled extended base into direct power, or n*powered-n tail ordering","Untruncated npery scored 150/600; targeted staging rows selected x87-DR stored base on both routes, rejected the unspilled base 2/2, and selected n*(powered-1) on both tail-order pins; the raw candidate with multiply-before-subtract scored 709/842","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-12-effect","w109-effect-large-period-single-route-and-guards","EFFECT using the x87-DR spill loop for all representable counters, the raw power chain for all counts, a worksheet POWER fallback, limit-form EXP/expm1, direct extended power, or artificial error guards at 2^53/i64/u64","A fresh build-20228/CV2 NoCache extreme-domain battery located the exact post-truncation switch at u32::MAX: the hybrid scored 160/160 exact/kind, former u64-loop production and worksheet-POWER fallback 144/160, raw-only 146/160, direct/limit families 14..70/160, and all tested high error guards failed typed outcomes","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G6-13-rri","w109-rri-unconditional-raw-and-ordinary-guards","RRI with n<=0 and pv/fv<=0 guards followed by an unconditional raw power chain","Fresh build-20228/CV2 NoCache edge batteries score former production 45/60 + 15/35 + 3/6 versus 60/60 + 35/35 + 6/6 for the selected MIN_NORMAL-period, DAZ/equality/sign, zero-base, and exact-n==1 composite; unconditional raw log returns #NUM where quotient DAZ requires -1 and perturbs MAX on n==1","2026-08-09","W109_EFFECT_RRI_NOMINAL_IDENTIFICATION_20260809.md"
"G4-07-cos-shared-phase","w109-cos-former-fsin-branch","Tiny guard plus FPREM1(|x|,FLDPI/2) and raw FSIN on odd quadrants","Fresh discovery scored 1023/1027, missing phases 0x4062a6de04ab6900/6902; the oracle-blind baseline-vs-selected disagreement holdout scored 0/514 versus 514/514 selected","2026-08-09","BUG-FUNC-047 / race_besselj_internal_trig.rs / COS disagreement and tangent-square held-outs"
"G4-07-cos-shared-phase","w109-cos-public-reduction-families","960 explicit quotient/product/subtract reducers; residue-spilled FPREM1; double-double series; AMD/public SSE2/FMA polynomial and tail variants","Best explicit reducer scored 767/1027; residue-spill 265/1027; double-double 1020/1027; best AMD/public polynomial 1009/1027 versus selected 1027/1027","2026-08-09","BUG-FUNC-047 / race_besselj_internal_trig.rs / 1027-row COS discovery battery"
