"scenario_id","lane","status","scenario_kind","formula_setup","value_setup","op_action","op_primary_cell","op_observe_cells","objective","notes","expected_status","expected_observable"
"STR8-025","STR-C","ready","formula_case","A1:=""a""<""B""","","calculate","A1","A1","Text ordering baseline","Ordering behavior for case differences.","observed",""
"STR8-026","STR-C","ready","formula_case","A1:=""A"">""a""","","calculate","A1","A1","Text ordering reverse direction","Ordering behavior counterpart.","observed",""
"STR8-027","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LENB(A1)","A1:=repeat(x,32767)","calculate","A1","A1|B1|C1","Interop set value exact text cap","Direct Value2 set at 32767.","observed",""
"STR8-028","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LENB(A1)","A1:=repeat(x,32768)","calculate","A1","A1|B1|C1","Interop set value one over cap","Detect truncate vs error at 32768.","observed",""
"STR8-029","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LENB(A1)","A1:=repeat(x,40000)","calculate","A1","A1|B1|C1","Interop set value far over cap","Detect truncate vs error at 40000.","observed",""
"STR8-030","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LENB(A1)|D1:=UNICODE(LEFT(A1,1))","A1:=repeat(emoji_grinning,40000)","calculate","A1","A1|B1|C1|D1","Interop set value with over-cap emoji string","Detect cap unit for surrogate pairs.","observed",""
"STR8-031","STR-E","ready","value_case","B1:=LEN(A1)|C1:=UNICODE(A1)","A1:=token(precomposed_e_acute)","calculate","A1","A1|B1|C1","Interop precomposed accented character","Baseline for precomposed codepoint.","observed",""
"STR8-032","STR-E","ready","value_case","B1:=LEN(A1)|C1:=UNICODE(LEFT(A1,1))|D1:=UNICODE(MID(A1,2,1))","A1:=token(combining_e_acute)","calculate","A1","A1|B1|C1|D1","Interop combining accent sequence","Two-codepoint representation check.","observed",""
"STR8-033","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LEN(CLEAN(A1))","A1:=token(control_1_A)","calculate","A1","A1|B1|C1","Interop control character persistence","Check control char retained on set and removed by CLEAN.","observed",""
"STR8-034","STR-E","ready","value_case","B1:=TRIM(A1)|C1:=LEN(TRIM(A1))","A1:=token(nbsp_wrap)","calculate","A1","A1|B1|C1","Interop NBSP trim behavior","NBSP should remain after TRIM.","observed",""
"STR8-035","STR-E","ready","value_case","B1:=TRIM(A1)|C1:=LEN(TRIM(A1))","A1:=token(tab_wrap)","calculate","A1","A1|B1|C1","Interop tab trim behavior","TRIM behavior with tabs.","observed",""
"STR8-036","STR-E","ready","value_case","B1:=LEN(A1)|C1:=LEN(CLEAN(A1))|D1:=LEN(TRIM(A1))","A1:=token(zws_wrap)","calculate","A1","A1|B1|C1|D1","Zero-width space behavior","Detect if CLEAN or TRIM remove zero-width spaces.","observed",""
"STR8-037","STR-E","ready","mixed_case","B1:=LEN(A1)|C1:=A1|D1:=LEN(C1)","A1:=repeat(x,40000)","calculate","A1","A1|B1|C1|D1","Interop value then reference reuse","Check truncation and reference stability.","observed",""
"STR8-038","STR-E","ready","mixed_case","B1:=LEN(A1)|C1:=A1|D1:=LEN(C1)","A1:=repeat(emoji_grinning,40000)","calculate","A1","A1|B1|C1|D1","Interop emoji value then reference reuse","Reference lane with surrogate pairs.","observed",""
"STR8-039","STR-D","ready","formula_case","A1:=REPT(""x"",32767)|B1:=LEN(A1)","","save_reopen_recalc","A1","A1|B1","Persistence for formula-generated max-length text","XLSX save/reopen stability check.","observed",""
"STR8-040","STR-D","ready","value_case","B1:=LEN(A1)","A1:=repeat(x,40000)","save_reopen_recalc","A1","A1|B1","Persistence after interop over-cap assignment","Verify persisted truncated length.","observed",""
"STR8-041","STR-D","ready","value_case","B1:=LEN(A1)","A1:=repeat(emoji_grinning,40000)","save_reopen_recalc","A1","A1|B1","Persistence after interop over-cap emoji assignment","Check persisted emoji count.","observed",""
"STR8-042","STR-D","ready","value_case","","A1:=token(csv_quotes)","csv_roundtrip_values","A1","A1","CSV roundtrip with comma and quotes","CSV serialization of delimiters and quote escaping.","observed",""
"STR8-043","STR-D","ready","value_case","","A1:=token(csv_newline)","csv_roundtrip_values","A1","A1","CSV roundtrip with newline","Check multiline field behavior on export/import.","observed",""
"STR8-044","STR-D","ready","value_case","","A1:=token(nbsp_wrap)","csv_roundtrip_values","A1","A1","CSV roundtrip with NBSP","NBSP preservation across CSV path.","observed",""
"STR8-045","STR-E","ready","value_case","B1:=LEN(A1)|C1:=UNICODE(RIGHT(A1,1))|D1:=LEN(RIGHT(A1,1))","A1:=repeat(emoji_grinning,40000)","calculate","A1","A1|B1|C1|D1","Emoji overflow tail validity","Check for dangling surrogate after interop truncation.","observed",""
"STR8-046","STR-E","ready","value_case","B1:=LEN(A1)|C1:=CODE(RIGHT(A1,1))|D1:=LEN(RIGHT(A1,1))","A1:=repeat(x,40000)","calculate","A1","A1|B1|C1|D1","ASCII overflow tail validity","Control comparison for overflow truncation tail on ASCII text.","observed",""
