row_id,surface_cluster,current_oxfunc_path,excel_path_hypotheses,instruction_models_to_search,search_axes,next_discriminating_probe,status_20260710
"G4-02-atanh","ATANH","landed graph: |x|>=1 -> #NUM; subnormal |x| -> +0; below 0x3f1af82b729c1d83 use ordinary binary64 x+(x*x*x)/3; otherwise use excel_x87_add(1,x), excel_x87_sub(1,x), excel_x87_div, then 0.5*excel_log(ratio)","exact current-reference three-regime graph identified; the positive seam middle double is observationally equal, while its negative counterpart selects the signed ratio route","global oddness; platform/UCRT; unified x87 ln1p pair; ordinary ratio wrapper; all-extended wrapper; seven of eight add/sub/div store masks","both signs; DAZ/subnormals; exact adjacent-double seam; near-domain limits; independent add/sub/div double-round windows; typed errors","closed: retain 5902-row dense discovery, retired 7050-row refinement set, fresh 8510-row held-out, 43-step boundary artifact, exact pins, hashes, and 20780-row replay","closed_signed_off; landed a03a75f; G4-02 retired; bead oxf-jwh5.6"
"G4-03-acoth","ACOTH","landed current-reference graph: |x|<=1 -> #NUM; below 0x400d92b14ec204f3 use native binary64 |x|+/-1, RN53(RN64(divide)), and worksheet LN/half; otherwise use the direct inverse odd-power series with every reciprocal/multiply/divide/add stored through x87 PC64-to-binary64; subnormal reciprocal and either sign publish +0","exact two-body graph independently identified; last ratio discriminator 0x400d92b14ec204ef, first series discriminator/threshold 0x400d92b14ec204f3, with three observational-overlap doubles between","former reciprocal FYL2XP1 pair; standalone log1p identities; ATANH inheritance; ratio add/sub store variants; plain or continuously extended division; reciprocal-forward/recurrence/Horner series; per-operation no-store variants; truncated term schedules","domain and near-one; both signs; exhaustive remaining 49152-double seam bracket; every ratio/series store site; exponent strata; reciprocal underflow/+0; broad random candidate disagreements","closed: retain 202217-row discovery bank, deterministic prior-disjoint 66552-row frozen held-out, artifact hashes, exact pins, formal route tag, and asserted 268769-row production replay","closed_signed_off; landed 7f7eac9; BUG-FUNC-027 CLASS-C5; bead oxf-jwh5.7; G4-03 retired; wider BUG-FUNC-027/W109 remain open"
G4-04-combinatorial,COMBIN/COMBINA/PERMUT/FACTDOUBLE/ERF precise family row,integer recurrence returns mathematically exact integer when representable,"Excel often publishes a neighboring float, suggesting factorial/gamma or extended product/division rather than exact integer arithmetic",integer recurrence; forward/reverse product; x87 continuous product/division; store each multiply; exp(log-gamma),n/k size; representable integer vs nonrepresentable; symmetry k vs n-k; product direction,Use representable COMBIN integers and compare recurrence orders; x87 continuous n!/(k!(n-k)!) should reveal Excel's intentional imprecision lane,1 ULP on COMBIN and PERMUT witnesses
"G4-05-convert","CONVERT","landed current-reference graph: linear conversions publish product, quotient, and separate decimal-prefix multiply through RN53(RN64(op)); length uses exact integer angstrom factors; pressure uses independently rounded reciprocal table entries; temperature uses direct ordered-pair affine formulas; bar and unsupported/cross-category pairs return #N/A","exact generic three-store graph identified on Excel 16.0 build 20228 x64/CV2","folded-prefix/native-f64 cores; single-store and category-specific store graphs; nearby PC64 constants; nearby meter factors; uniform exact-decimal tables; Kelvin-composed temperature; input-cell mutation","every supported ordered direct pair and prefix; signs and power ladders; first/second store discriminators; affine temperature pairs; unsupported bar; exact Value2 input readback","closed: retain discovery, explicitly retired v1/v2 refinement sets, 4226-row refinement battery, frozen prior-disjoint 10418-row publication gate, exact pins, hashes, and 34189-row production replay","closed_signed_off; landed 8ef5cac; bead oxf-jwh5.8; G4-05 retired; wider W109 remains open"
"G5-01-minverse","MINVERSE multi-cell","landed current-reference graph: right-looking Doolittle LU + partial pivot + per-column unit-vector solves; factor division, elimination multiply/subtract, forward/backward solve multiply/subtract, and final division each use RN53(RN64(op)); completed zero cells publish +0","exact graph identified on Excel 16.0 build 20228 x64/CV2","plain binary64; Gauss-Jordan; left-looking/Cholesky/cofactor families; solve-order variants; continuous x87; all 256 per-operation x87 masks; signed-zero publication","pivot swaps; dimensions 2..6; dense/integer/triangular/near-identity/tridiagonal/scaled/pivot-stress/symmetric matrices; every arithmetic site; signed zero","closed: retain 607 banked cells, 576-row retired refinement set, frozen 416-row publication gate, nine exact pins, artifact hashes, and direct production replay","closed_signed_off; BUG-FUNC-025; landed bce3558; 1599/1599 production replay; G5-01 retired"
G6-01-annuity,PMT/PPMT and adjacent schedules,discount form with portable log1p/expm1 helper; per-period balance recurrence,Excel PMT uses the confirmed discount form but helper em rounding is unresolved; schedule rows may use stored PMT plus recurrence with different order,x87 Kahan log1p/expm1; FYL2XP1/F2XM1; store em only; continuous em; balance multiply-first vs add-first,n=1 isolation; tiny rate; long horizon; PMT vs PPMT identity; type 0/1,"Use n=1 to solve exact em, then compare PPMT=-PMT-IPMT with each component forced through worksheet cells to expose publication stores",PMT witness exact; PPMT witness 1 ULP; Phase-E helper lane remains open
"G6-02-accrint","ACCRINT","landed graph: identified calc_method FALSE flat/whole-period-skip fraction or TRUE backward period-walk fraction, stored in ordinary f64; coupon=(par*rate)/frequency stored in ordinary f64; final result=excel_x87_mul(coupon,a)","complete current-reference calculation and publication graph identified; only the final stored-coupon by stored-fraction product uses x87 PC64 then binary64 publication","plain-f64 final multiply rejected; promoting earlier coupon/day-count/fraction operations to x87 rejected by the combined discriminator and held-out evidence","issue before/inside canonical period; settlement before/after/on first interest; calc_method; bases 0..4; frequency 1/2/4; rate/par adjacent-bit ladders; EOM/leap dates","closed: retain b39/b40/b42, recaptured b43, frozen 450-row publication held-out, exact pins, hashes, and provenance","closed_signed_off; landed cd1f9fe; 146850/146850 exact; full core 1519 passed/4 ignored; catalog row retired"
G6-03-yield,YIELD,coupon price kernel plus generic bracket/root solve,"Excel and public F# agree against OxFunc, pointing to a legacy deterministic solver schedule/publication rule rather than the price function",Newton; secant; bisection; fixed iteration; goal-seek style hybrid; x87 residual/derivative; midpoint publication,price at par; initial guess; slope; frequency/basis; adjacent price bits,Record every candidate iteration and search schedules that land on Excel's published float for both catalog and par cases,6-19 ULP; OxFunc=F# on catalog witness
G6-04-oddfyield,ODDFYIELD,aligned odd-first price kernel inverted by current solver,Forward price is aligned; large residual strongly indicates solver schedule/stopping/publication rather than low-bit kernel noise,same solver family as YIELD; price residual in f64/x87; fixed tolerance; secant endpoint publication,par vs discount price; stub length; basis; initial guesses; Nq regimes,Replay Excel price at candidate rates around the returned root and search a legacy secant/Newton stop predicate in value-space,~307k-312k ULP on two witnesses
G6-05-rate,RATE,hybrid secant/Newton/bracket solver over annuity equation,Excel likely uses a legacy iterative routine with fixed tolerance and returns an iterate rather than the nearest residual-minimizing float,Newton from 0.1; secant using 0/guess; fixed 20/100 iterations; x87 function/derivative; step-vs-residual stop,omitted guess; n=1 identity; type; near-zero rate; multiple-root cases,Capture candidate iterate sequences and match Excel's rate to an intermediate iterate/endpoint; unit-root case helps isolate formula from schedule,72-586 ULP
G6-06-irr,IRR,hybrid solver plus local residual-plateau publication scan,"Some roots now exact, but Excel likely publishes according to a different legacy iteration/stopping rule; residual-minimum is not always its rule",Newton/secant schedules; Horner NPV forward/reverse; x87 power recurrence; fixed tolerance; last iterate vs midpoint,cashflow scale; trailing zeros; time reversal; exact roots; gentle vs steep slope,"Search joint NPV evaluation order and solver schedule; compare roots under scaling, which preserves mathematics but changes rounding",80-14096 ULP on bounded witnesses
G6-07-cumprinc,CUMPRINC,PMT plus per-period balance recurrence and summation,Excel may reuse rounded worksheet-equivalent PMT then accumulate principal with a particular recurrence/sum order,stored PMT; extended PMT; forward/reverse sum; x87 balance; payment-minus-interest vs balance difference,full vs half schedule; start/end; type; rate; nper,Compare sum of individually published PPMT rows with CUMPRINC and a direct start/end balance difference to identify reuse/publication boundaries,full schedule exact; half schedule 1 ULP
G6-08-nper,NPER,"IDENTIFIED AND CLOSED (W109 2026-07-11): rate==0 -> dr linear branch (pmt=0 -> #DIV/0!); else x87 spill-loop: dr ops throughout, ln_x87(ratio)/ln_x87(dr(1+rate)) dr-divided; 1+rate==1 -> #DIV/0!; no epsilon branch",identified — no open hypotheses,closed,closed,regression: in-crate pins + verify_nper_promotion over the oracle cache,closed_signed_off 2026-07-11; 1286/1286 numeric + 7/7 error rows; see W109_NPER_IDENTIFICATION_20260711.md
G6-09-yieldmat,YIELDMAT,IDENTIFIED AND CLOSED (W109 2026-07-11): x87 spill-loop; term1=(1+dim/b*rate)-term2 with term2=price/100+a/b*rate REUSED; final (t1/t2)*(b/dsm); day fractions (x/b)*rate,identified — no open hypotheses,closed,closed,regression: in-crate pins + race-validation over the oracle cache,closed_signed_off 2026-07-11; 1250/1250 bit-exact; see W109_YIELDMAT_IDENTIFICATION_20260711.md
G6-10-tbillyield,TBILLYIELD,closed: ((100-price)/price)*(360/dsm),Expanded sweep proved Excel groups the day-scale factor before the final multiplication; the former left-associative path caused 308 one-ULP failures,strict-f64 association tree pinned; no x87 special path required,14 settlements; 14 durations; 11 prices,Retain the 2156-case closure sweep as regression evidence,closed_signed_off 2026-07-10; 2156/2156 exact
G6-11-xnpv,XNPV,IDENTIFIED AND CLOSED (W109 2026-07-11): rate<=0 -> #NUM!; base=RN53(RN64(1+rate)); years=(d-d0)/365 strict; pow=full worksheet POWER kernel (integer binexp dispatch); term=RN53(RN64(value/pow)); total=RN53(RN64(total+term)) forward (legacy x87 spill loop),identified — no open hypotheses,closed,closed,regression: in-crate pins + verify_xnpv_promotion over the oracle cache,closed_signed_off 2026-07-11; 1530/1530 numeric + 175/175 error rows; see W109_XNPV_IDENTIFICATION_20260711.md
"G6-12-effect","EFFECT","landed Rust path: n=trunc(npery); base=DR(1+DR(nominal/n)); n<u32::MAX uses right-to-left/LSB-first binary exponentiation with DR on every accumulator multiply and factor square; n>=u32::MAX uses raw stored-LN/product x87 EXP; result=DR(powered-1)","identified two-route graph with exact post-truncation dispatch at u32::MAX, including x87-DR divide/add/final-subtract wrapper staging","primary graph selected; no loop-only, raw-chain-only, worksheet POWER, native powf, direct-extended, limit-form, or 2^53/i64/u64 error-guard model survives the combined corpora","truncation and exact u32::MAX boundary; LSB vs MSB/repeated-power ordering; x87 DR per multiply; base algebra/add staging; extreme finite counts; base rounding to 1; overflow/underflow","closed: retain the 1349-row production replay, exact wrapper pins, five dispatch pins, and provenance-bearing 160-row extreme-domain battery","closed_signed_off; landed 876635e; production replay 1349/1349; full core 1518 passed/4 ignored; Lean 492-job build passed; catalog row retired"
"G6-13-rri","RRI","landed path: finite guard; reject n<MIN_NORMAL; pv=DAZ(pv),fv=DAZ(fv); equality->+0 before sign guards; base=DAZ(DR(fv/pv)); zero base->-1; n==1 uses base identity; otherwise reciprocal=DR(1/n) and raw stored-LN/product x87 EXP; result=DR(powered-1); reject nonfinite intermediates/results","complete current-reference guard/DAZ/identity/raw-chain graph identified; POWER dispatch rejected outside exact n==1 identity","primary graph selected on 5536 rows; no open current-host graph hypothesis","period MIN_NORMAL boundary; signed-zero/subnormal DAZ equality; sign ordering; quotient underflow/overflow; exact n==1 and adjacent periods; near-one cancellation; POWER dispatch; wrapper staging","closed: retain 60+35 edge rows, six identity rows, RRI(2,1,2), b27D product rows, and wrapper rows","closed_signed_off; landed 876635e; repaired production replay 5536/5536; full core 1518 passed/4 ignored; Lean 492-job build passed; catalog row retired"
"G6-14-nominal","NOMINAL","landed Rust path: n=trunc(npery); base=DR(1+effect); reciprocal=RN53(1/n); n<=2 uses register-continuous FYL2X/FRNDINT/F2XM1/FSCALE with one final f64 power store; n>=3 uses raw stored-LN/product x87 EXP; then n*(powered-1)","identified two-route graph on public inputs; n<=2 is observationally equivalent to reciprocal>=0.5 after truncation, so the internal source predicate is intentionally not over-attributed","primary graph selected; no single raw, worksheet POWER, native powf, LN/n, or always-direct route survives both corpora; direct-route spill/publication variants are rejected","same-effect n=2 vs n=3 route boundary; stored x87-DR base; direct-power intermediate spills; completed-power publication; truncation; subtract-before-multiply tail order","closed: preserve the same-effect n=2/n=3 pair and eight wrapper-staging rows; test alternate-version axis separately","closed_signed_off; landed 876635e; production replay 852/852; full core 1518 passed/4 ignored; Lean 492-job build passed; catalog row retired"
