"scenario_id","lane","objective","sheet_setup","cell_formula_or_action","comparison_cells","op_setup","op_action","op_primary_cell","op_observe_cells","expected_observable_class","capture_fields","status","model_targets","notes"
"FP2-015","FP-B","Formula-vs-reference equivalence for tiny positive","A1 formula: =1E-307/1000","B1 formula: =A1*1E20","C1 formula: =(1E-307/1000)*1E20","A1:==1E-307/1000|B1:==A1*1E20|C1:==(1E-307/1000)*1E20","calculate","A1","A1|B1|C1","Comparison parity between formula-only and referenced results","B1_display;C1_display;B1_eq_C1","seed","excel","Distinguishes internal retention from display rounding."
"FP2-016","FP-B","Formula-vs-reference equivalence for tiny negative","A1 formula: =-1E-307/1000","B1 formula: =A1*1E20","C1 formula: =(-1E-307/1000)*1E20","A1:==-1E-307/1000|B1:==A1*1E20|C1:==(-1E-307/1000)*1E20","calculate","A1","A1|B1|C1","Comparison parity including sign behavior","B1_display;C1_display;B1_eq_C1","seed","excel","Sign-specific twin of FP2-015."
"FP2-017","FP-C","Interop injected +Infinity","XLL/UDF harness required","A1 action: UDF returns +inf","none","A1:==OXFP_POS_INF()","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Needs explicit harness and return-type metadata."
"FP2-018","FP-C","Interop injected -Infinity","XLL/UDF harness required","A1 action: UDF returns -inf","none","A1:==OXFP_NEG_INF()","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Sign-aware infinity mapping."
"FP2-019","FP-C","Interop injected quiet NaN","XLL/UDF harness required","A1 action: UDF returns qNaN payload A","none","A1:==OXFP_QNAN(1)","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Track payload preservation or erasure."
"FP2-020","FP-C","Interop injected alternate quiet NaN","XLL/UDF harness required","A1 action: UDF returns qNaN payload B","none","A1:==OXFP_QNAN(2)","calculate","A1","A1","NaN payload differentiation behavior","display_value;error_code;A_vs_B_difference","ready","excel","Compares payload observability."
"FP2-021","FP-C","Interop injected signaling NaN","XLL/UDF harness required","A1 action: UDF returns sNaN","none","A1:==OXFP_SNAN(1)","calculate","A1","A1","Signaling NaN handling path","display_value;error_code;dependent_formula_outcome","ready","excel","Verify if converted before worksheet exposure."
"FP2-022","FP-C","Interop injected negative zero","XLL/UDF harness required","A1 action: UDF returns -0.0","none","A1:==OXFP_NEG_ZERO()","calculate","A1","A1","Interop signed-zero observability","display_value;formula_bar;text_export","ready","excel","Tests whether sign bit survives ingress."
"FP2-023","FP-D","Save/reload tiny positive","A1 formula: =1E-307/1E13","Save workbook, reopen, recalc","none","A1:==1E-307/1E13","save_reopen_recalc","A1","A1","Persistence stability across save/load","pre_save_display;post_load_display;dependent_compare","seed","excel","Workbook persistence lane."
"FP2-024","FP-D","Save/reload tiny negative","A1 formula: =-1E-307/1E13","Save workbook, reopen, recalc","none","A1:==-1E-307/1E13","save_reopen_recalc","A1","A1","Persistence stability with sign candidate","pre_save_display;post_load_display;dependent_compare","seed","excel","Sign-sensitive persistence lane."
"FP2-025","FP-D","Save/reload overflow error","A1 formula: =(10^307)*100","Save workbook, reopen, recalc","none","A1:==(10^307)*100","save_reopen_recalc","A1","A1","Error-class persistence","pre_save_error;post_load_error","seed","excel","Verifies error class survives persisted formula."
"FP2-026","FP-D","CSV round-trip near-zero value","A1 value from formula then paste-values","Export CSV and re-import","none","A1:==1E-307/1000","csv_roundtrip_values","A1","A1","Text serialization normalization effects","before_export_display;csv_text;after_import_display","seed","excel","Tests sheet-boundary text normalization."
